TAZ_BSMA,MahozNum
71103,6
71102,6
71101,6
71004,6
71003,6
71002,6
71001,6
70902,6
70901,6
70801,6
70702,6
70701,6
70602,6
70601,6
70501,6
70403,6
70402,6
70401,6
70301,6
70212,6
70211,6
70210,6
70209,6
70208,6
70207,6
70206,6
70205,6
70204,6
70203,6
70202,6
70201,6
70109,6
70108,6
70107,6
70106,6
70105,6
70104,6
70103,6
70102,6
70101,6
60603,6
60602,6
60601,6
60517,6
60516,6
60515,6
60514,6
60513,6
60512,6
60511,6
60510,6
60509,6
60508,6
60507,6
60506,6
60505,6
60504,6
60503,6
60502,6
60501,6
60404,6
60403,6
60402,6
60401,6
60301,6
60201,6
60112,6
60111,6
60110,6
60109,6
60108,6
60107,6
60106,6
60105,6
60104,6
60103,6
60102,6
60101,6
51401,6
51302,6
51301,6
51201,6
51101,6
51002,6
51001,6
50901,6
50801,6
50701,6
50611,6
50610,6
50609,6
50608,6
50607,6
50606,6
50605,6
50604,6
50603,6
50602,6
50601,6
50501,6
50401,6
50301,6
50201,6
50107,6
50106,6
50105,6
50104,6
50103,6
50102,6
50101,6
42601,6
42501,6
42401,6
42301,6
42201,6
42101,6
42001,6
41901,6
41801,6
41701,6
41601,6
41501,6
41401,6
41301,6
41201,6
41101,6
41015,6
41014,6
41013,6
41012,6
41011,6
41010,6
41009,6
41008,6
41007,6
41006,6
41005,6
41004,6
41003,6
41002,6
41001,6
40901,6
40801,6
40701,6
40601,6
40501,6
40401,6
40301,6
40201,6
40106,6
40105,6
40104,6
40103,6
40102,6
40101,6
37001,6
36001,6
35001,6
34002,6
34001,6
33001,6
32001,6
31916,6
31915,6
31914,6
31913,6
31912,6
31911,6
31910,6
31909,6
31908,6
31907,6
31906,6
31905,6
31904,6
31903,6
31902,6
31901,6
31801,6
31701,6
31601,6
31501,6
31401,6
31301,6
31201,6
31114,6
31113,6
31112,6
31111,6
31110,6
31109,6
31108,6
31107,6
31106,6
31105,6
31104,6
31103,6
31102,6
31101,6
31001,6
30902,6
30901,6
30805,6
30804,6
30803,6
30802,6
30801,6
30703,6
30702,6
30701,6
30601,6
30502,6
30501,6
30401,6
30303,6
30302,6
30301,6
30201,6
30104,6
30103,6
30102,6
30101,6
20402,6
20401,6
20302,6
20301,6
20201,6
20108,6
20107,6
20106,6
20105,6
20104,6
20103,6
20102,6
20101,6
10199,6
10198,6
10197,6
10196,6
10195,6
10194,6
10193,6
10192,6
10191,6
10190,6
10189,6
10188,6
10187,6
10186,6
10185,6
10184,6
10183,6
10182,6
10181,6
10180,6
10179,6
10178,6
10177,6
10176,6
10175,6
10174,6
10173,6
10172,6
10171,6
10170,6
10169,6
10168,6
10167,6
10166,6
10165,6
10164,6
10163,6
10162,6
10161,6
10160,6
10159,6
10158,6
10157,6
10156,6
10155,6
10154,6
10153,6
10152,6
10151,6
10150,6
10149,6
10148,6
10147,6
10146,6
10145,6
10144,6
10143,6
10142,6
10141,6
10140,6
10139,6
10138,6
10137,6
10136,6
10135,6
10134,6
10133,6
10132,6
10131,6
10130,6
10129,6
10128,6
10127,6
10126,6
10125,6
10124,6
10123,6
10122,6
10121,6
10120,6
10119,6
10118,6
10117,6
10116,6
10115,6
10114,6
10113,6
10112,6
10111,6
10110,6
10109,6
10108,6
10107,6
10106,6
10105,6
10104,6
10103,6
10102,6
10101,6
