TAZ_BSMA,NafaNum
71103,13
71102,13
71101,13
71004,13
71003,13
71002,13
71001,13
70902,13
70901,13
70801,13
70702,13
70701,13
70602,13
70601,13
70501,13
70403,13
70402,13
70401,13
70301,13
70212,13
70211,13
70210,13
70209,13
70208,13
70207,13
70206,13
70205,13
70204,13
70203,13
70202,13
70201,13
70109,13
70108,13
70107,13
70106,13
70105,13
70104,13
70103,13
70102,13
70101,13
60603,13
60602,13
60601,13
60517,13
60516,13
60515,13
60514,13
60513,13
60512,13
60511,13
60510,13
60509,13
60508,13
60507,13
60506,13
60505,13
60504,13
60503,13
60502,13
60501,13
60404,13
60403,13
60402,13
60401,13
60301,13
60201,13
60112,13
60111,13
60110,13
60109,13
60108,13
60107,13
60106,13
60105,13
60104,13
60103,13
60102,13
60101,13
51401,13
51302,13
51301,13
51201,13
51101,13
51002,13
51001,13
50901,13
50801,13
50701,13
50611,13
50610,13
50609,13
50608,13
50607,13
50606,13
50605,13
50604,13
50603,13
50602,13
50601,13
50501,13
50401,13
50301,13
50201,13
50107,13
50106,13
50105,13
50104,13
50103,13
50102,13
50101,13
42601,13
42501,13
42401,13
42301,13
42201,13
42101,13
42001,13
41901,13
41801,13
41701,13
41601,13
41501,13
41401,13
41301,13
41201,13
41101,13
41015,13
41014,13
41013,13
41012,13
41011,13
41010,13
41009,13
41008,13
41007,13
41006,13
41005,13
41004,13
41003,13
41002,13
41001,13
40901,13
40801,13
40701,13
40601,13
40501,13
40401,13
40301,13
40201,13
40106,13
40105,13
40104,13
40103,13
40102,13
40101,13
37001,13
36001,13
35001,13
34002,13
34001,13
33001,13
32001,13
31916,13
31915,13
31914,13
31913,13
31912,13
31911,13
31910,13
31909,13
31908,13
31907,13
31906,13
31905,13
31904,13
31903,13
31902,13
31901,13
31801,13
31701,13
31601,13
31501,13
31401,13
31301,13
31201,13
31114,13
31113,13
31112,13
31111,13
31110,13
31109,13
31108,13
31107,13
31106,13
31105,13
31104,13
31103,13
31102,13
31101,13
31001,13
30902,13
30901,13
30805,13
30804,13
30803,13
30802,13
30801,13
30703,13
30702,13
30701,13
30601,13
30502,13
30501,13
30401,13
30303,13
30302,13
30301,13
30201,13
30104,13
30103,13
30102,13
30101,13
20402,13
20401,13
20302,13
20301,13
20201,13
20108,13
20107,13
20106,13
20105,13
20104,13
20103,13
20102,13
20101,13
10199,13
10198,13
10197,13
10196,13
10195,13
10194,13
10193,13
10192,13
10191,13
10190,13
10189,13
10188,13
10187,13
10186,13
10185,13
10184,13
10183,13
10182,13
10181,13
10180,13
10179,13
10178,13
10177,13
10176,13
10175,13
10174,13
10173,13
10172,13
10171,13
10170,13
10169,13
10168,13
10167,13
10166,13
10165,13
10164,13
10163,13
10162,13
10161,13
10160,13
10159,13
10158,13
10157,13
10156,13
10155,13
10154,13
10153,13
10152,13
10151,13
10150,13
10149,13
10148,13
10147,13
10146,13
10145,13
10144,13
10143,13
10142,13
10141,13
10140,13
10139,13
10138,13
10137,13
10136,13
10135,13
10134,13
10133,13
10132,13
10131,13
10130,13
10129,13
10128,13
10127,13
10126,13
10125,13
10124,13
10123,13
10122,13
10121,13
10120,13
10119,13
10118,13
10117,13
10116,13
10115,13
10114,13
10113,13
10112,13
10111,13
10110,13
10109,13
10108,13
10107,13
10106,13
10105,13
10104,13
10103,13
10102,13
10101,13
