"scenario","year","nafanum","pop","hh","hhsize","empd","empi","empe","emp","school","yeshiva","college","ind","htl","bsn","pub","edu","agr"
"base",2015,10,93557.1627,24989.7249,64.7852,0.0000,0.0000,0.0000,10348.8650,28664.5000,144.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,16,2895881.3522,77193.8624,499.3180,14943.9514,13300.0000,9994.6617,46207.1148,160357.4249,11776.9888,16762.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,2,1028705.7406,286221.8978,1406.6435,0.0000,0.0000,0.0000,309785.6176,288867.3000,55501.0000,46733.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,10,96328.5551,25685.7249,69.0265,0.0000,0.0000,0.0000,10826.2617,29002.2549,144.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,16,3172901.4833,85541.3029,507.6746,16640.3921,14467.5000,10329.9700,50711.9889,166121.7830,14285.0047,17644.1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,2,1246051.7989,311944.2976,1572.6845,0.0000,0.0000,0.0000,360950.7979,369115.9336,76997.0875,49373.7550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,10,113433.4698,30869.3249,75.5902,469.0000,0.0000,165.8085,11920.8690,33953.9021,144.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,16,3494848.6941,98657.9906,517.6173,19307.4783,16047.6875,11162.2374,56419.4276,179271.2413,17030.7388,18573.7113,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,2,1385129.4898,345824.6399,1640.5208,0.0000,0.0000,0.0000,403336.0529,409251.5416,79674.9937,52689.5950,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2030,10,128870.4485,35639.3249,82.1770,767.0000,0.0000,286.7981,12775.6734,38364.7957,144.0000,0.0000,705.8954,3509.8634,1980.5091,1591.5110,4766.2349,221.6597
"base",2030,16,3820217.9707,113960.6986,544.1279,22446.6460,20072.4828,11958.3534,65041.3686,204125.0882,18445.4917,19553.3021,12927.7070,14446.4036,13130.6738,10403.8818,14360.8502,474.8500
"base",2030,2,1605860.7013,391582.6736,1750.9611,0.0000,0.0000,0.0000,468359.4844,475915.7252,84568.5932,55695.0289,35206.8873,100044.9964,171948.3354,72352.1142,77181.7813,2019.9315
"base",2035,10,158003.1326,44698.3249,85.0043,1340.4000,0.0000,672.2610,14679.0828,48045.8824,144.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2035,16,4154565.0180,133170.6306,563.2381,26139.4572,25081.2293,14260.8434,78242.5506,243879.5909,20746.2133,20585.6904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2035,2,1802295.2816,432388.1450,1795.7890,0.0000,0.0000,0.0000,524028.8562,537737.4253,89985.2138,58906.3084,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2040,10,183308.9852,51488.3249,88.3755,1340.4000,0.0000,910.9110,15970.8363,55234.1686,144.0000,0.0000,916.1433,4148.9804,2562.4978,2047.7333,6062.2213,233.1020
"base",2040,16,4469070.0297,151367.0909,567.1799,29725.0749,30122.5543,16142.5195,90643.3046,276855.3618,22478.0826,21673.8023,17913.8121,20317.5935,19305.3813,13843.3361,19358.8772,630.5480
"base",2040,2,1928495.8398,458540.9027,1817.6338,0.0000,0.0000,0.0000,572975.5684,571187.5483,92844.4035,62341.7556,47880.6522,117880.1652,219547.1131,93654.7619,89406.3187,2413.5491
