TAZ_1318_N,MahozNum
5312,4
5339,4
7405,4
5313,4
5316,4
5315,4
5309,4
4602,4
5008,4
5306,4
5317,4
5322,4
8015,4
8110,4
8011,4
5218,4
5217,4
5205,4
5204,4
5210,4
5211,4
5009,4
5201,4
8402,6
8301,4
5375,4
8331,4
8330,4
8401,6
8322,4
8302,4
8013,4
8212,4
8213,4
8326,4
8320,4
8314,4
8315,4
8311,4
8310,4
8214,4
8428,6
8343,4
8447,6
8448,6
8403,6
8329,4
8438,6
8442,6
8445,6
8430,6
8437,6
8435,6
8432,6
8450,6
8446,6
8449,6
8443,6
8444,6
8427,6
8426,6
8406,6
8404,6
8423,6
8421,6
8409,6
8413,6
8420,6
8410,6
8417,6
8412,6
8436,6
8431,6
8424,6
8433,6
8422,6
8425,6
8452,6
8416,6
8415,6
8439,6
8418,6
8440,6
8342,4
8332,4
8313,4
8312,4
8111,4
8112,4
8120,4
8215,4
8107,4
8108,4
8105,4
8106,4
8204,4
5516,4
5372,4
5370,4
8211,4
5602,4
5601,4
5515,4
5514,4
5501,4
5369,4
5348,4
5347,4
8002,4
5635,4
5637,4
5617,4
5616,4
5606,4
8001,4
5508,4
5506,4
5349,4
5330,4
5331,4
8210,4
5615,4
5619,4
5517,4
5636,4
8323,4
8319,4
8324,4
8318,4
8317,4
8316,4
5638,4
5620,4
8203,4
8201,4
5371,4
5314,4
5512,4
5511,4
5343,4
5342,4
5336,4
5333,4
5335,4
5334,4
5346,4
5344,4
5345,4
5332,4
8012,4
5630,4
5629,4
5631,4
5634,4
5645,4
5643,4
5644,4
5646,4
5605,4
5609,4
5632,4
5614,4
5612,4
5610,4
5624,4
5611,4
5623,4
5622,4
5603,4
5613,4
5626,4
5627,4
5625,4
5604,4
5607,4
5373,4
5367,4
5404,4
5365,4
5364,4
5507,4
5356,4
5354,4
5363,4
5357,4
5324,4
5352,4
5350,4
5325,4
5355,4
5326,4
5368,4
5353,4
5351,4
5329,4
5327,4
5328,4
5216,4
5215,4
5203,4
5212,4
5202,4
5225,4
5213,4
7512,4
8007,4
8008,4
8016,4
7513,4
8009,4
7611,4
7618,4
7609,4
7610,4
7514,4
8006,4
7509,4
8004,4
8005,4
7603,4
5223,4
5226,4
5108,4
5116,4
5123,4
7515,4
5114,4
5117,4
5104,4
5118,4
5110,4
5111,4
5112,4
5119,4
5221,4
5124,4
5224,4
5222,4
5207,4
5209,4
5220,4
5122,4
5206,4
5121,4
5219,4
5102,4
5107,4
5101,4
5115,4
7620,4
7621,4
7601,4
7612,4
7630,4
7631,4
7617,4
7614,4
7615,4
7616,4
7613,4
6604,4
6002,4
6605,4
6603,4
6103,4
6011,4
6514,4
3003,4
6412,4
6162,4
6161,4
6163,4
6142,4
6134,4
6135,4
6123,4
6105,4
6309,4
6522,4
3013,4
3015,4
4001,4
3025,4
3022,4
3014,4
3322,4
2124,5
2127,5
2617,4
5005,4
3321,4
4006,4
2510,5
2616,5
4022,4
4056,4
2501,5
2504,5
2606,5
2607,5
2608,5
4021,4
4055,4
2605,5
4053,4
3201,4
6420,4
6119,4
5302,4
2939,4
1111,5
1114,5
1113,5
1116,5
1118,5
1115,5
1220,5
1209,5
1214,5
1217,5
1211,5
1213,5
1210,5
1707,5
1706,5
1708,5
1710,5
1126,5
1711,5
1403,5
1401,5
1815,5
1413,5
2410,5
5305,4
1817,5
2301,5
2411,5
2805,5
2865,5
2862,5
2861,5
1939,5
1931,5
1904,5
1901,5
2427,5
2517,5
1938,5
1933,5
1932,5
1927,5
1914,5
1913,5
1903,5
1906,5
2454,5
1937,5
1936,5
1934,5
1915,5
2453,5
1925,5
2702,5
2863,5
2837,5
2839,5
2926,5
2927,5
2936,5
2928,5
2924,5
2869,5
2870,5
2851,5
2849,5
2934,5
2932,5
2920,5
2930,5
2922,5
2923,5
1726,5
1715,5
1714,5
2868,5
2852,5
2848,5
2827,5
2810,5
2806,5
2829,5
2824,5
2811,5
2831,5
2844,5
2833,5
2836,5
5303,4
2940,5
2935,5
2938,5
2937,5
2929,5
5310,4
2941,5
2933,5
2902,5
1720,5
2901,5
1722,5
1723,5
1718,5
1719,5
2906,5
2904,5
1724,5
2915,5
2907,5
2905,5
2807,5
2910,5
2925,5
2911,5
2909,5
2912,5
2913,5
2908,5
2921,5
2914,5
2903,5
1721,5
2918,5
2825,5
2919,5
2916,5
2826,5
2809,5
1725,5
1717,5
2808,5
5307,4
5308,4
2866,5
2845,5
2854,5
2846,5
2853,5
2847,5
2860,5
2859,5
2858,5
2856,5
2841,5
2840,5
2843,5
2842,5
2857,5
2812,5
1818,5
2818,5
2816,5
2803,5
2834,5
2817,5
2835,5
2821,5
2830,5
2832,5
2822,5
2819,5
2823,5
2820,5
1727,5
1713,5
2815,5
1501,5
1502,5
1327,5
1326,5
1307,5
1524,5
1519,5
1323,5
1701,5
1813,5
1801,5
1518,5
1319,5
1316,5
1420,5
1419,5
1415,5
1601,5
1704,5
1522,5
1703,5
1702,5
1705,5
1523,5
1520,5
1525,5
1515,5
1526,5
1508,5
1603,5
1602,5
1805,5
1612,5
1418,5
1613,5
1912,5
1908,5
1812,5
1803,5
1809,5
1807,5
1527,5
1811,5
1810,5
1802,5
1804,5
1504,5
1510,5
1505,5
1511,5
1509,5
1507,5
1506,5
1330,5
1328,5
1320,5
1517,5
1516,5
1514,5
1513,5
1512,5
1503,5
1325,5
1322,5
1610,5
1329,5
1315,5
1317,5
1929,5
1928,5
1930,5
1911,5
1926,5
1604,5
1606,5
1909,5
1907,5
1306,5
1301,5
1303,5
1122,5
1123,5
1120,5
1302,5
1405,5
1404,5
1407,5
1408,5
1406,5
1421,5
1309,5
1305,5
1318,5
1311,5
1310,5
1304,5
1312,5
1313,5
1324,5
1308,5
1321,5
1314,5
1121,5
1412,5
1410,5
1411,5
1409,5
1124,5
1119,5
5002,4
5004,4
5001,4
2703,5
5003,4
5301,4
5304,4
2864,5
2804,5
2704,5
2612,5
2611,5
2609,5
2603,5
2602,5
2601,5
2614,5
2618,5
2613,5
2610,5
2615,5
1216,5
2414,5
2416,5
2211,5
2212,5
2426,5
2425,5
2420,5
2220,5
2304,5
2227,5
4074,4
2230,5
2232,5
2234,5
4101,4
4054,4
4104,4
2444,5
2432,5
2235,5
2224,5
4102,4
2435,5
2436,5
2239,5
2311,5
2305,5
1917,5
2314,5
2312,5
2440,5
2437,5
2439,5
2317,5
2441,5
2438,5
1920,5
1921,5
1923,5
1922,5
1919,5
1916,5
1918,5
2303,5
2309,5
2310,5
2313,5
2442,5
2443,5
2422,5
2430,5
2428,5
2429,5
2431,5
2424,5
2231,5
1402,5
1219,5
2406,5
2405,5
2418,5
2419,5
2409,5
2408,5
2415,5
2417,5
2413,5
1117,5
2210,5
2218,5
2217,5
2229,5
2228,5
2401,5
1218,5
2502,5
2503,5
4106,4
2434,5
2448,5
4103,4
2450,5
2447,5
2240,5
2237,5
2233,5
2238,5
2505,5
2506,5
2507,5
2509,5
2206,5
2204,5
4024,4
4025,4
4023,4
2216,5
2213,5
2221,5
2215,5
2214,5
2223,5
2225,5
2226,5
2205,5
4027,4
4026,4
1101,5
2026,5
2025,5
2005,5
2024,5
2021,5
1110,5
1105,5
1106,5
2009,5
3023,4
1103,5
1104,5
2118,5
2103,5
2019,5
1202,5
2111,5
2018,5
1212,5
1205,5
2106,5
2109,5
2105,5
2117,5
1107,5
1208,5
1201,5
1109,5
1108,5
1207,5
1206,5
2027,5
2028,5
2045,5
2101,5
2023,5
2120,5
2121,5
2122,5
2125,5
2123,5
1203,5
1204,5
2110,5
2008,5
2033,5
2014,5
2039,5
2040,5
2034,5
2032,5
2015,5
2012,5
2035,5
2036,5
2013,5
2104,5
2041,5
2017,5
2016,5
2006,5
2010,5
3024,4
2011,5
6606,4
3012,4
3010,4
3002,4
2004,5
6145,4
6171,4
6168,4
6170,4
6164,4
6166,4
6602,4
6169,4
6159,4
6158,4
6152,4
6154,4
6153,4
6155,4
6160,4
6109,4
6102,4
6129,4
6128,4
6110,4
6111,4
6127,4
6112,4
6125,4
6114,4
6132,4
6133,4
6124,4
6131,4
6126,4
6113,4
6107,4
6115,4
6116,4
6118,4
6702,4
6703,4
7124,4
7217,4
7502,4
7503,4
7120,4
7121,4
7122,4
7203,4
7125,4
7011,4
4004,4
4013,4
7303,4
7305,4
7504,4
7012,4
7501,4
7304,4
7507,4
4302,4
4401,4
7505,4
4504,4
4601,4
4503,4
4505,4
4510,4
4507,4
4508,4
4506,4
4509,4
4501,4
4502,4
7506,4
4071,4
4015,4
4068,4
4067,4
4066,4
4075,4
4016,4
4036,4
4041,4
4043,4
4065,4
4042,4
4063,4
4062,4
4060,4
4058,4
4301,4
4061,4
4073,4
4201,4
4202,4
4059,4
4204,4
4203,4
4057,4
4072,4
4064,4
4010,4
4017,4
4020,4
4019,4
4032,4
4046,4
4048,4
4052,4
4051,4
4030,4
4031,4
4050,4
4049,4
4007,4
4008,4
4009,4
4033,4
4035,4
4044,4
4034,4
4045,4
4047,4
4011,4
4012,4
4018,4
4069,4
4070,4
4037,4
7401,4
7402,4
7404,4
7207,4
7206,4
7216,4
7214,4
7010,4
7013,4
7301,4
7302,4
7210,4
7208,4
7209,4
7211,4
7202,4
7213,4
7204,4
7205,4
7215,4
7001,4
3125,4
6706,4
3106,4
3124,4
3123,4
3121,4
7007,4
3120,4
3119,4
3118,4
3117,4
3027,4
3017,4
3113,4
3115,4
3029,4
3028,4
3311,4
7008,4
7009,4
3325,4
3324,4
3301,4
3305,4
3317,4
3132,4
3133,4
3315,4
3323,4
3320,4
3304,4
3303,4
3302,4
3026,4
3314,4
3318,4
3203,4
3030,4
3135,4
3134,4
3310,4
3127,4
3126,4
3308,4
3307,4
3306,4
3312,4
3128,4
3129,4
3130,4
3131,4
3136,4
6422,4
3101,4
3102,4
3112,4
3111,4
3114,4
3116,4
3007,4
3006,4
3001,4
3004,4
3016,4
3018,4
3021,4
3020,4
3019,4
3108,4
3109,4
3107,4
7004,4
7110,4
7123,4
7102,4
7101,4
6704,4
6520,4
6527,4
6705,4
3104,4
6523,4
6526,4
6525,4
6005,4
6008,4
6007,4
6006,4
6017,4
6307,4
6308,4
6012,4
6014,4
6501,4
6513,4
6306,4
6302,4
6301,4
6303,4
6304,4
6310,4
6402,4
6139,4
6140,4
6141,4
6410,4
6311,4
6405,4
6403,4
6411,4
6401,4
6151,4
6150,4
6421,4
6404,4
6104,4
6020,4
6013,4
6138,4
6122,4
6502,4
6305,4
6503,4
6019,4
6004,4
6001,4
6003,4
6511,4
6510,4
6516,4
6512,4
6016,4
5338,4
5341,4
5340,4
5337,4
5509,4
5510,4
7201,4
1607,5
2219,5
2222,5
2828,5
2917,5
3110,4
6708,4
7403,4
7508,4
5641,4
5633,4
5621,4
6143,4
6101,4
6108,4
6106,4
6117,4
6147,4
6148,4
6165,4
6167,4
6157,4
6203,4
6205,4
6204,4
6312,4
6601,4
6524,4
6015,4
6018,4
8411,6
8429,6
5319,4
5318,4
5006,4
8340,4
8341,4
8408,6
8407,6
8104,4
5505,4
5639,4
5362,4
5214,4
7608,4
7606,4
7511,4
5109,4
6010,4
6701,4
6515,4
6521,4
3008,4
6144,4
3009,4
6120,4
1709,5
2701,5
1935,5
2931,5
2850,5
1716,5
1611,5
2516,5
2207,5
4105,4
2315,5
2308,5
2307,5
2403,5
7212,4
1416,5
8202,4
8020,4
8021,4
8102,4
8205,4
8206,4
7005,4
7006,4
7002,4
3202,4
2022,5
2002,5
6009,4
7510,4
8003,4
8010,4
8014,4
5405,4
5105,4
1125,5
1609,5
2113,5
4039,4
4040,4
2508,5
6156,4
8327,6
5320,4
5321,4
2455,5
1417,5
3205,4
6707,4
2316,5
2838,5
6202,4
6201,4
6121,4
5513,4
8103,4
8101,4
5618,4
5642,4
5640,4
5403,4
5360,4
5402,4
5007,4
5401,4
4029,4
4028,4
4005,4
4003,4
4002,4
3204,4
3313,4
3122,4
3137,4
3309,4
2446,5
2445,5
2943,4
2871,5
2942,5
2874,5
2873,5
2872,5
2855,5
2031,5
2029,5
2037,5
2038,5
3316,4
2107,5
2108,5
5103,4
4014,4
4038,4
3103,4
3105,4
3031,4
3011,4
2007,5
2001,5
2003,5
2116,5
2115,5
2114,5
2102,5
2126,5
2119,5
2112,5
2042,5
2048,5
2020,5
2043,5
2049,5
2047,5
2046,5
2201,5
2513,5
2604,5
2515,5
2514,5
2512,5
2511,5
2449,5
4402,4
6149,4
5502,4
5311,4
5358,4
5361,4
5323,4
5359,4
8225,4
8328,4
8321,4
5628,4
5608,4
7604,4
7602,4
7607,4
7605,4
7622,4
7619,4
5374,4
2802,5
2801,5
8405,6
2867,5
2813,5
2814,5
7003,4
8451,6
8441,6
8414,6
3005,4
5106,4
5120,4
5113,4
2402,5
2404,5
2407,5
2423,5
2412,5
2433,5
1414,5
1605,5
1112,5
2209,5
2203,5
2202,5
2208,5
1102,5
1215,5
1521,5
1608,5
1902,5
1910,5
1905,5
1816,5
1808,5
1814,5
1806,5
1712,5
1924,5
2452,5
2451,5
2421,5
2236,5
2302,5
2306,5
2044,5
8434,6
8419,6
