year,code,MahozNum,population,employment
2020,2020,1,1285170.1955047406,352015.8467351393
2020,2020,7,3196023.584459702,96105.73643977201
2020,2020,4,99789.37356200001,14407.693453429998
2025,2025,1,1431525.3022105668,385510.69309792365
2025,2025,7,3524326.1533060414,106370.505487006
2025,2025,4,110214.8245188,17325.11164775
2030,2030,1,1655319.0034535879,424272.03805043624
2030,2030,7,3855334.0262676408,119495.1213161559
2030,2030,4,129203.4320484,20370.82427732
2035,2035,1,1866187.198436172,466599.6433427531
2035,2035,7,4185089.1570637403,135212.41563460196
2035,2035,4,157144.8901347,24113.521934420005
2040,2040,1,2031616.4963269494,577498.0542320242
2040,2040,7,4499633.424841438,96809.49995873
2040,2040,4,192232.397105,27680.39627322
