year,code,NafaNum,population,employment
Megamot,2050,6,80843.257669,30291.460122999997
Megamot,2050,1,201798.29774399998,93490.379741
Megamot,2050,5,1036125.864,380472.14147800015
Megamot,2050,3,160094.49469199998,74166.620896
Megamot,2050,4,773158.6352560001,308450.130583
Megamot,2050,8,810534.52348,213165.65839599998
Megamot,2050,2,2313888.4867379996,1042419.3004309995
Megamot,2050,12,1015702.7173720003,432352.1568519999
Megamot,2050,13,1432173.1686970002,614889.5987699999
Megamot,2050,7,693659.4639620001,361865.315043
Megamot,2050,9,757705.0,218288.0
Megamot,2050,14,1319524.5330319998,598698.1270490002
Megamot,2050,15,2160423.278071,1330459.065046
Megamot,2050,10,725453.394179,335766.76809499995
Megamot,2050,11,1076094.0549030001,377615.48126999993
Megamot,2050,16,1116316.959305,204271.429341
Mokdit,2050,6,78705.80424000001,29512.787373
Mokdit,2050,1,196462.85637600007,91087.11456499998
Mokdit,2050,5,1008731.2384440002,370691.71862600005
Mokdit,2050,3,155861.68004299997,72260.09257000001
Mokdit,2050,4,750312.8608,298914.5990899999
Mokdit,2050,8,1081653.017268,289714.756462
Mokdit,2050,2,2294315.38679,1039666.8332169997
Mokdit,2050,12,1015702.7173720003,432352.1568519999
Mokdit,2050,13,1432173.1686970002,614889.5987699999
Mokdit,2050,7,621747.3795339998,329593.05628
Mokdit,2050,9,873502.0,265297.0
Mokdit,2050,14,1239407.8714589998,575472.5134080001
Mokdit,2050,15,2121277.0780869992,1318009.1649780003
Mokdit,2050,10,679719.2672679999,322448.59163099993
Mokdit,2050,11,1008254.794052,362637.37710700004
Mokdit,2050,16,1115669.008706,204114.27203400002
Hafrada,2050,6,81673.21648999999,30404.189433000003
Hafrada,2050,1,203870.013811,93838.30306100003
Hafrada,2050,5,1046763.0131569998,381888.0639950001
Hafrada,2050,3,161738.06820399998,74442.631082
Hafrada,2050,4,782800.541223,310207.77022599994
Hafrada,2050,8,695391.538189,166369.386063
Hafrada,2050,2,2317396.2267260007,1042912.5763559996
Hafrada,2050,12,1015702.7173720003,432352.1568519999
Hafrada,2050,13,1432173.1686970002,614889.5987699999
Hafrada,2050,7,738765.8156709997,371930.25647799997
Hafrada,2050,9,701372.0,233598.0
Hafrada,2050,14,1339502.8322359999,600151.851811
Hafrada,2050,15,2207777.768033,1341227.027521
Hafrada,2050,10,737747.5703369997,338011.69454299996
Hafrada,2050,11,1094330.4984379997,380140.206938
Hafrada,2050,16,1116491.140375,204297.919949
